sim_n	seed	popsize_2N	iniCN	selCoeff	time_g	exchg_r	mean	median	mode	sd	alpha	beta	p_val	class
139	123180437	5000	500	0.000000	1000	0.711227	612.0472 	 538 	 597 	 379.9973 	 2.470328 	 0.004036759 	 0.08356539 	 1 
140	123936752	5000	500	0.000000	1000	0.998795	488.0872 	 424 	 374 	 317.1113 	 2.290071 	 0.004691206 	 0.01852464 	 1 
141	124642646	5000	500	0.000000	1000	0.654221	576.0186 	 518.5 	 489 	 350.1696 	 2.584252 	 0.00448625 	 0.005770175 	 0 
142	125230891	5000	500	0.000000	1000	0.582887	321.6632 	 284 	 244 	 200.5598 	 2.520398 	 0.007836208 	 0.003067621 	 0 
143	125785522	5000	500	0.000000	1000	0.736633	450.8414 	 394 	 322 	 289.4915 	 2.347559 	 0.00520601 	 0.02984147 	 1 
144	126457802	5000	500	0.000000	1000	0.544521	520.0626 	 453 	 254 	 329.6577 	 2.547778 	 0.004898358 	 0.001578859 	 0 
145	127029240	5000	500	0.000000	1000	0.226485	265.8216 	 224 	 140 	 175.9985 	 2.319651 	 0.008726293 	 0.01852464 	 1 
146	127365380	5000	500	0.000000	1000	0.477959	901.4008 	 810 	 706 	 551.7038 	 2.586282 	 0.00286927 	 0.007561748 	 0 
147	128037660	5000	500	0.000000	1000	0.495944	338.0906 	 292 	 277 	 217.3984 	 2.327039 	 0.006882194 	 0.07549366 	 1 
148	128541870	5000	500	0.000000	1000	0.357947	155.1534 	 134 	 105 	 101.5318 	 2.342716 	 0.01509701 	 0.006177431 	 0 
149	128861203	5000	500	0.000000	1000	0.316386	376.8496 	 319 	 267 	 243.9451 	 2.445573 	 0.006490155 	 0.005028403 	 0 
150	129365413	5000	500	0.000000	1000	0.458149	780.125 	 672 	 1349 	 497.0275 	 2.407111 	 0.003085016 	 0.01742144 	 1 
151	129936851	5000	500	0.000000	1000	0.520702	650.263 	 585 	 390 	 399.05 	 2.553244 	 0.003925871 	 0.01445589 	 1 
152	130659552	5000	500	0.000000	1000	0.818597	324.699 	 287 	 365 	 196.669 	 2.600443 	 0.008007509 	 0.008635679 	 0 
153	131197376	5000	500	0.000000	1000	0.676511	510.3584 	 447 	 221 	 321.6214 	 2.434571 	 0.004770726 	 0.005387613 	 0 
154	131886463	5000	500	0.000000	1000	0.785265	220.9284 	 194 	 122 	 139.7542 	 2.415476 	 0.01093141 	 0.003067621 	 0 
155	132474708	5000	500	0.000000	1000	0.852486	709.4788 	 629 	 629 	 451.5587 	 2.465433 	 0.003474924 	 0.0003795012 	 0 
156	133382286	5000	500	0.000000	1000	0.432144	818.2376 	 705.5 	 535 	 519.6633 	 2.57313 	 0.003144122 	 0.001356221 	 0 
157	133953724	5000	500	0.000000	1000	0.851541	352.6614 	 309 	 239 	 220.605 	 2.453768 	 0.006959781 	 0.003800385 	 0 
158	134491548	5000	500	0.000000	1000	0.776329	439.5726 	 385 	 239 	 282.5187 	 2.373238 	 0.005398688 	 0.01742144 	 1 
159	135180635	5000	500	0.000000	1000	0.404359	504.6258 	 448 	 359 	 319.1095 	 2.545285 	 0.005044254 	 0.0002716346 	 0 
160	135735266	5000	500	0.000000	1000	0.456916	359.4512 	 317 	 172 	 223.4149 	 2.488218 	 0.006922831 	 0.001463605 	 0 
161	136273090	5000	500	0.000000	1000	0.471382	493.4868 	 433 	 469 	 304.3471 	 2.521105 	 0.005109049 	 0.01538975 	 1 
162	136827721	5000	500	0.000000	1000	0.729147	532.1742 	 456 	 438 	 355.8034 	 2.359767 	 0.004434665 	 0.0008513793 	 0 
163	137500001	5000	500	0.000000	1000	0.970881	334.0624 	 287 	 128 	 209.9511 	 2.496197 	 0.007474058 	 0.01852464 	 1 
164	138189088	5000	500	0.000000	1000	0.704563	667.2146 	 592.5 	 608 	 422.7672 	 2.448486 	 0.003669587 	 0.003539914 	 0 
165	138911789	5000	500	0.000000	1000	0.794690	489.5166 	 428 	 619 	 302.6651 	 2.60908 	 0.005330431 	 0.001076486 	 0 
166	139684911	5000	500	0.000000	1000	0.812087	888.2334 	 784 	 1000 	 568.1642 	 2.400879 	 0.002702813 	 0.008082509 	 0 
167	140558875	5000	500	0.000000	1000	0.673688	680.9438 	 589 	 517 	 438.6674 	 2.358535 	 0.003463327 	 0.007561748 	 0 
168	141399225	5000	500	0.000000	1000	0.576186	458.3412 	 409 	 500 	 283.4463 	 2.569018 	 0.00560499 	 0.003539914 	 0 
169	141903435	5000	500	0.000000	1000	0.338773	542.8934 	 476 	 304 	 338.828 	 2.682631 	 0.004940969 	 6.687718e-05 	 0 
170	142374031	5000	500	0.000000	1000	0.702152	900.6518 	 788 	 641 	 560.0561 	 2.495027 	 0.002770476 	 0.03161711 	 1 
171	142995890	5000	500	0.000000	1000	0.794633	428.4788 	 378 	 220 	 258.2028 	 2.611674 	 0.006096545 	 0.003295976 	 0 
172	143617749	5000	500	0.000000	1000	0.543981	745.1228 	 661 	 543 	 449.1635 	 2.697459 	 0.003620193 	 3.850768e-05 	 0 
173	144273222	5000	500	0.000000	1000	0.557388	355.9382 	 303 	 186 	 236.2126 	 2.349651 	 0.006601745 	 0.001977241 	 0 
174	144861467	5000	500	0.000000	1000	0.824454	545.3372 	 483 	 328 	 325.8778 	 2.747688 	 0.005038038 	 0.01195204 	 1 
175	145752238	5000	500	0.000000	1000	0.511469	360.5458 	 315 	 210 	 235.2977 	 2.341256 	 0.006492712 	 0.009846365 	 0 
176	146575781	5000	500	0.000000	1000	0.874806	542.4568 	 475 	 313 	 356.6161 	 2.339615 	 0.004313258 	 0.0001047795 	 0 
177	147651429	5000	500	0.000000	1000	0.819337	515.0156 	 455 	 319 	 323.1977 	 2.551838 	 0.004954067 	 0.0005712676 	 0 
178	148659849	5000	500	0.000000	1000	0.589555	471.5608 	 407 	 256 	 302.017 	 2.478411 	 0.005256311 	 0.002292636 	 0 
179	149533813	5000	500	0.000000	1000	0.984827	465.9918 	 401 	 354 	 302.8284 	 2.421771 	 0.005197514 	 0.005770175 	 0 
180	150592654	5000	500	0.000000	1000	0.629689	448.3796 	 399.5 	 332 	 281.4222 	 2.416448 	 0.005389941 	 0.01195204 	 1 
181	151483425	5000	500	0.000000	1000	0.475095	422.6742 	 371.5 	 317 	 261.7303 	 2.553825 	 0.006042712 	 0.008082509 	 0 
182	152256547	5000	500	0.000000	1000	0.807267	243.8166 	 216 	 186 	 152.8757 	 2.51442 	 0.0103129 	 0.006177431 	 0 
183	152962441	5000	500	0.000000	1000	0.440184	322.5376 	 285 	 151 	 203.2134 	 2.378503 	 0.007374414 	 0.006177431 	 0 
184	153651528	5000	500	0.000000	1000	0.970505	596.8856 	 528 	 212 	 374.1771 	 2.430198 	 0.004069787 	 0.008635679 	 0 
185	154542299	5000	500	0.000000	1000	0.438175	367.652 	 318 	 189 	 237.9479 	 2.405831 	 0.006544215 	 0.0003795012 	 0 
186	155231386	5000	500	0.000000	1000	0.385524	774.0172 	 699 	 530 	 467.9325 	 2.575464 	 0.003327282 	 0.002654092 	 0 
187	156155771	5000	500	0.000000	1000	0.907532	385.7326 	 334 	 243 	 240.5968 	 2.55478 	 0.006624006 	 0.0005268194 	 0 
188	157063349	5000	500	0.000000	1000	0.896811	421.519 	 374 	 168 	 258.2624 	 2.589331 	 0.006143265 	 0.001578859 	 0 
189	158054962	5000	500	0.000000	1000	0.900980	498.2664 	 432 	 335 	 309.0709 	 2.558741 	 0.005135413 	 0.01195204 	 1 
